,bauchi,benin,bida,calabar,enugu,gusau,ibadan,ikeja,jos,kaduna,kano,katsina,lagos,lokoja,maiduguri,minna,nguru,ondo,oshogbo,sokoto,warri,yelwa,yola,zaria
2022-06-06,0.4,0.1,2.5,0.2,0.3,0.0,3.6,3.0,0.8,0.2,0.0,0.0,3.0,0.0,1.9,2.3,0.4,2.0,1.1,0.2,0.1,0.8,2.2,0.0
2022-06-07,0.7,0.1,0.6,1.0,3.8,0.9,0.4,3.2,1.9,2.3,0.5,0.4,3.2,0.9,0.0,0.8,0.4,1.0,0.4,0.1,0.6,1.9,1.5,0.9
2022-06-08,0.2,0.0,0.6,0.0,0.0,0.0,0.3,0.2,3.3,3.5,0.0,0.1,0.2,0.0,0.0,0.7,0.1,0.3,0.1,0.1,0.4,3.3,0.0,1.2
2022-06-09,0.0,0.2,4.9,0.6,0.0,0.0,1.3,1.9,2.0,0.8,0.0,0.0,1.9,0.1,0.0,3.2,0.2,0.4,1.1,0.0,0.3,2.0,1.5,0.0
2022-06-10,2.1,0.4,34.7,0.3,0.0,0.9,1.3,0.6,2.1,2.7,0.0,0.0,0.6,0.0,0.1,6.8,0.9,0.1,0.7,0.0,2.3,2.1,0.5,1.0
2022-06-11,1.7,4.6,3.6,5.3,2.1,0.6,4.4,3.0,1.3,0.8,0.3,1.1,3.0,7.1,0.5,1.6,1.3,4.9,14.9,0.3,6.7,1.3,0.9,0.2
2022-06-12,0.5,0.2,1.0,1.1,1.8,0.4,0.4,2.7,1.5,1.1,0.1,0.8,2.7,3.3,0.3,0.7,1.6,0.7,1.5,1.3,2.6,1.5,10.1,1.1
2022-06-13,0.1,1.5,0.9,2.5,1.1,0.6,0.6,0.6,1.2,0.0,0.0,0.0,0.6,0.6,0.4,0.0,1.9,1.8,0.8,0.0,3.6,1.2,1.1,0.5
2022-06-14,0.2,2.9,5.5,2.7,1.7,1.5,1.3,0.0,9.2,7.0,2.9,0.8,0.0,0.9,0.0,6.0,1.2,0.3,3.9,0.0,4.0,9.2,0.1,2.9
2022-06-15,0.0,4.0,4.8,2.3,5.9,10.4,6.2,2.4,1.5,2.8,1.3,1.9,2.4,0.9,0.0,4.5,4.9,4.0,6.4,2.8,8.7,1.5,0.4,4.9
2022-06-16,12.9,4.3,1.0,8.0,10.1,7.5,0.8,13.1,7.6,10.9,1.2,1.6,13.1,6.5,5.1,0.9,5.4,6.2,1.1,6.5,6.2,7.6,3.1,11.2
2022-06-17,3.4,3.5,1.2,4.7,2.5,1.6,4.5,5.7,6.0,1.3,1.7,6.7,5.7,1.5,0.6,2.4,4.2,6.6,2.0,9.0,26.4,6.0,2.5,3.4
2022-06-18,2.5,3.7,0.7,4.3,3.0,6.5,0.2,1.1,3.4,1.6,0.8,0.8,1.1,0.0,0.2,0.2,4.3,0.8,0.8,0.0,4.5,3.4,7.0,1.6
